"두류별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","합계","면적[ha]","ha","913","788","722.2","543.9","448.4","372.1","384.7","390","416.9","405.1",
"합계","합계","생산량[M/T]","M/T","1342.9","1241.8","938.7","720.5","367.4","624.7","417.4","553.6","604.5","587.9",
"합계","해남읍","면적[ha]","ha","40.8","49.7","68.9","48.1","39.1","17.4","24.8","25.2","26.9","26.1",
"합계","해남읍","생산량[M/T]","M/T","58","65.8","79.9","58.3","27","27.9","52.4","28.8","31.4","30.6",
"합계","삼산면","면적[ha]","ha","32.4","33.5","28.1","18.5","44.6","24.3","24.3","24.6","26.3","25.6",
"합계","삼산면","생산량[M/T]","M/T","48.7","51.7","36.3","24.8","32.1","43","31.1","35.4","38.7","37.5",
"합계","화산면","면적[ha]","ha","34.7","35","33","34.5","35.8","5","13","13.2","14.1","13.6",
"합계","화산면","생산량[M/T]","M/T","53.5","57.6","44.5","48.5","30.6","7.9","9","17.8","19.4","18.8",
"합계","현산면","면적[ha]","ha","105.4","69.2","23.8","31.4","21.1","29.8","20","20.3","21.7","21",
"합계","현산면","생산량[M/T]","M/T","143.9","108.4","30.4","42","19.8","52.7","21","27.6","30.1","29.2",
"합계","송지면","면적[ha]","ha","193.4","197","199.5","17.6","10.3","10.4","16","16.2","17.3","16.8",
"합계","송지면","생산량[M/T]","M/T","289.1","328.6","271","24.9","10.2","18.3","21","23.9","26.1","25.3",
"합계","북평면","면적[ha]","ha","128.4","42.7","39.7","11","24.8","12","25","25.3","27","26.3",
"합계","북평면","생산량[M/T]","M/T","183.2","65","49.4","14.3","17.1","22.3","31.7","37.4","40.8","39.8",
"합계","북일면","면적[ha]","ha","81.8","66.1","28","22.3","17.9","16.7","10","10.1","10.8","10.5",
"합계","북일면","생산량[M/T]","M/T","122.4","94.6","37.5","31.3","17","30","12.8","14.9","16.3","15.8",
"합계","옥천면","면적[ha]","ha","33.3","52.1","22.3","22.9","6.1","13.2","20","20.3","21.7","21",
"합계","옥천면","생산량[M/T]","M/T","47.7","81.3","29.5","31.3","5.8","24.6","20.9","28.4","31","30",
"합계","계곡면","면적[ha]","ha","75.6","47","75.6","36.3","30.4","37.6","37.6","38.1","40.7","39.7",
"합계","계곡면","생산량[M/T]","M/T","113.3","79","103.4","51.8","29.8","69.7","41.2","56.2","61.4","59.8",
"합계","마산면","면적[ha]","ha","7.3","46.7","53.3","57.2","51.6","65","102","103.3","110.4","107.6",
"합계","마산면","생산량[M/T]","M/T","10.9","71.4","65.1","77.4","42.5","113.8","73","148.8","162.5","158.4",
"합계","황산면","면적[ha]","ha","19.9","62","19.7","72","56.9","31.4","15.4","15.6","16.7","16.1",
"합계","황산면","생산량[M/T]","M/T","30.1","99.4","25.1","89.9","43.3","46.2","17.5","22.2","24.2","23.5",
"합계","산이면","면적[ha]","ha","57.2","40.7","42.1","85.5","61","68.5","43","43.7","46.7","45.4",
"합계","산이면","생산량[M/T]","M/T","86.3","63.8","49","105.1","45.2","93.5","47","61.8","67.5","65.7",
"합계","문내면","면적[ha]","ha","69.2","27.9","44.1","44.8","23.2","28.8","21.6","21.9","23.4","22.8",
"합계","문내면","생산량[M/T]","M/T","109.5","46.2","59.7","62.1","22.7","53","20.8","32.4","35.4","34.5",
"합계","화원면","면적[ha]","ha","33.6","18.3","44.1","41.8","25.6","12","12","12.2","13","12.6",
"합계","화원면","생산량[M/T]","M/T","46.3","29","58","58.7","24.3","21.8","18","18","19.7","19",
"콩","합계","면적[ha]","ha","776.7","668.7","553.6","408.1","253.3","277.2","314.6","318.8","340.8","331.8",
"콩","합계","생산량[M/T]","M/T","1186.2","1123.4","758.4","583.6","253.3","515.6","335.5","466.7","509.6","496.4",
"콩","해남읍","면적[ha]","ha","23","23.3","25.8","21","9.6","11","13.1","13.3","14.2","13.8",
"콩","해남읍","생산량[M/T]","M/T","36.8","39.1","35.3","30","9.6","20.5","15.7","14.6","15.9","15.5",
"콩","삼산면","면적[ha]","ha","25.5","27.3","20","14.7","14.1","21.2","21.2","21.5","23","22.4",
"콩","삼산면","생산량[M/T]","M/T","40.8","45.9","27.4","21","14.1","39.4","27.7","31.8","34.7","33.8",
"콩","화산면","면적[ha]","ha","30.3","33.2","31","32.8","23.1","3","6","6.1","6.5","6.3",
"콩","화산면","생산량[M/T]","M/T","48.5","55.8","42.5","46.9","23.1","5.6","5","9","9.8","9.5",
"콩","현산면","면적[ha]","ha","66.4","57.7","11.5","25","18","26","10","10.1","10.8","10.5",
"콩","현산면","생산량[M/T]","M/T","99.6","96.9","15.7","35.8","18","48.4","13","14.9","16.3","15.8",
