"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","합계","면적[㏊]","㏊","3867.4","4352.1","4207.1","4385.3","3545.6","3086.8","4298.6","4359","5789.5","5306.8","5313.4","5369.8",
"합계","합계","생산량[M/T]","M/T","16014.2","18288.6","18025.4","18374.5","16000.2","14137.1","18026.4","19963.7","27340.9","17785.2","17837","18159.6",
"합계","겉보리","면적[㏊]","㏊","1101.9","755.6","728","1232.1","847.1","708.1","1715.2","1589.7","1922.3","2197.5","2160.4","1990.1",
"합계","겉보리","생산량[M/T]","M/T","4571.9","3048.3","2793","3186.2","3843.3","3523.3","6519.9","8121.9","10926.8","7054","6934.9","6567.3",
"합계","겉보리","단위생산량[㎏/10a]","㎏/10a","422.9","403.4","383.7","258.6","453.8","","380.1","467","568.4","321","321","330",
"합계","쌀보리","면적[㏊]","㏊","2270.2","2963.7","3215.4","3353.7","2528.2","2212.4","2209.5","2412","3149.8","2893.8","2847","2847",
"합계","쌀보리","생산량[M/T]","M/T","9561.8","12924","14261.2","14452.2","11515.9","10038.8","9908.9","10299.9","13797.8","9752.1","9594.4","9395.1",
"합계","쌀보리","단위생산량[㎏/10a]","㎏/10a","421.1","436.1","443.5","430.9","455.8","","448.5","471","438.1","337","337","330",
"합계","밀","면적[㏊]","㏊","495.3","667.8","262.3","249.2","170.3","166.3","370.2","353.1","715.9","178.5","272.8","499.5",
"합계","밀","생산량[M/T]","M/T","1880.5","2355.7","964.5","952.8","641","575","1576.6","1521","2597.5","749.7","1090.2","1998",
"합계","밀","단위생산량[㎏/10a]","㎏/10a","362.1","352.8","367.7","382.3","376.3","","425.9","391","362.8","399.3","399.6","400",
"합계","호밀","면적[㏊]","㏊","","","","-","","",".4",".4","","","","",
"합계","호밀","생산량[M/T]","M/T","","","","-","","","2.28","2.3","","","","",
"합계","호밀","단위생산량[㎏/10a]","㎏/10a","","","","-","","","570","570","","","","",
"합계","맥주보리","면적[㏊]","㏊","","","","-","","","3.3","3.3","1.5","37","33.2","33.2",
"합계","맥주보리","생산량[M/T]","M/T","","","","-","","","18.8","18.8","18.8","229.4","217.5","199.2",
"합계","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","-","","","570","570","1253","609.2","655.1","600",
"만경읍","합계","면적[㏊]","㏊","418","385","366","376.6","328","328","265","265","340","286.5","279.4","307",
"만경읍","합계","생산량[M/T]","M/T","1876.8","1728.6","1483","1637","1490.4","1490.4","1071","1072.3","1533.3","956.1","938.6","1049.5",
"만경읍","겉보리","면적[㏊]","㏊","42","45","40","15","3","3","58","58","72.2","154.2","145.5","145.5",
"만경읍","겉보리","생산량[M/T]","M/T","184.8","198","16","85","13.5","13.5","240","241","394.7","495","467.1","480.2",
"만경읍","겉보리","단위생산량[㎏/10a]","㎏/10a","440","440","40","566","450","450","413.8","415.5","546.7","321","321","330",
"만경읍","쌀보리","면적[㏊]","㏊","321","320","306","338","323","323","132","132","147.8","113.9","109.5","109.5",
"만경읍","쌀보리","생산량[M/T]","M/T","1444.5","1440","1377","1450","1469.7","1469.7","520","522","675.6","383.8","369","361.4",
"만경읍","쌀보리","단위생산량[㎏/10a]","㎏/10a","450","450","450","429","455","455","380","395.5","457.1","337","337","330",
"만경읍","밀","면적[㏊]","㏊","55","20","20","23.6","2","2","75","75","120","18.4","24.4","52",
