"읍면동별","미곡별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"합계","합계","면적[㏊]","㏊","22421","21943","21953","22323","20897","20972","20977","19318","17550","16462","18182.3",
"합계","합계","생산량[M/T]","M/T","117300","134357","137262","141802","116195","116984","119307","106182","96472.3","101075.4","101820.4",
"합계","논벼","면적[㏊]","㏊","22421","21588","21661","22031","20897","20972","20977","18905","17549.5","16462","18182",
"합계","논벼","생산량[M/T]","M/T","117300","132382","135773","140313","116195","116984","119307","105759","96470.3","101074.2","101819.2",
"합계","논벼","단위생산량[㎏/10a]","㎏/10a","522","522","490","517","556","557","535","837","550","614","",
"합계","밭벼","면적[㏊]","㏊","","355","292","292","-","","","413",".5",".3",".3",
"합계","밭벼","생산량[M/T]","M/T","","1975","1489","1489","-","","","423","2","1.2","1.2",
"합계","밭벼","단위생산량[㎏/10a]","㎏/10a","","522","510","510","-","","","","400","400","",
"만경읍","합계","면적[㏊]","㏊","870","824","787","930","900","910","990","990","915","783","990",
"만경읍","합계","생산량[M/T]","M/T","4437","4202.4","4092.4","4800","5067","5123.3","5591","5600","5062","4807.6","5544",
"만경읍","논벼","면적[㏊]","㏊","870","824","787","930","900","910","990","990","915","783","990",
"만경읍","논벼","생산량[M/T]","M/T","4437","4202.4","4092.4","4800","5067","5123.3","5591","5600","5062","4807.6","5544",
"만경읍","논벼","단위생산량[㎏/10a]","㎏/10a","510","520","520","516","563","563","540","566","553","614","",
"만경읍","밭벼","면적[㏊]","㏊","","","","-","-","","","","","0","-",
"만경읍","밭벼","생산량[M/T]","M/T","","","","-","-","","","","","0","-",
"만경읍","밭벼","단위생산량[㎏/10a]","㎏/10a","","","","-","-","","","","","0","",
"죽산면","합계","면적[㏊]","㏊","2341","2341","2306","2301","2136","2146","1963","1004","928.7","506","748",
"죽산면","합계","생산량[M/T]","M/T","12407.3","12407.3","12221","12194","11814","12040","12225","6222","5684","3105.6","4188.8",
"죽산면","논벼","면적[㏊]","㏊","2341","2341","2306","2301","2136","2146","1963","1004","928.7","506","748",
