"행정구역(읍면)별","잡곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","합계","면적[㏊]","㏊","291.5","268.8","233.7","273.5","279.4","276.2","283.2","97.5","102.6","101.3","100.2","97.3","86.3",
"합계","합계","생산량[M/T]","M/T","528.5","430.2","346.7","437.6","517.9","505.9","459.9","119.6","155.1","154.2","140.2","139.6","133.9",
"합계","조","면적[㏊]","㏊","6.5","6.5","6.5","10.5","10.5","","","","","","","","",
"합계","조","생산량[M/T]","M/T","8.9","8.9","8.7","16.5","16.5","","","","","","","","",
"합계","조","단위생산량[kg/10a]","kg/10a","136.9","136.9","133.8","157.1","157.1","","","","","","","","",
"합계","수수","면적[㏊]","㏊","4.7","1.3","1.3","1.5","1.5","","","","","","","","",
"합계","수수","생산량[M/T]","M/T","6.7","1.5","1.5","2.5","2.5","","","","","","","","",
"합계","수수","단위생산량[kg/10a]","kg/10a","142.1","115.4","115.4","166.7","166.7","","","","","","","","",
"합계","옥수수","면적[㏊]","㏊","38.5","18.1","21.5","30","37","33.3","35.7","11.2","11.3","11.3","10.7","10.8","10.1",
"합계","옥수수","생산량[M/T]","M/T","149.1","52.5","63","87","129","116.2","113","31","35","34.1","34.1","35.3","38.5",
"합계","옥수수","단위생산량[kg/10a]","kg/10a","387.2","290.1","293","290","348.6","349","316.7","276.8","309.7","301.8","318.5","326.5","381.3",
"합계","메밀","면적[㏊]","㏊","14.2","8.1","8","12.5","12.5","12.5","12.5","11","15","15","14.5","11.5","7.2",
"합계","메밀","생산량[M/T]","M/T","16.7","9.2","9","13.2","15.9","15.9","16.4","9.5","21.6","21.6","16.4","14.3","12.2",
"합계","메밀","단위생산량[kg/10a]","kg/10a","117.3","113.6","112.5","105.6","127.2","127.3","131.5","86.4","144","144","113.4","124.3","168.7",
"합계","기타","면적[㏊]","㏊","227.6","234.8","196.4","219","217.9","230.4","235","75.3","76.3","75","75","75","69",
"합계","기타","생산량[M/T]","M/T","347.2","358.1","264.5","318.4","354","373.7","330.5","79.1","98.5","98.5","89.6","90","83.2",
"합계","기타","단위생산량[kg/10a]","kg/10a","153","152","135","145","162","162.2","140.6","105","129.1","131.3","119.5","120","120.7",
"부안읍","합계","면적[㏊]","㏊","29.5","28.5","28.5","35","19.2","18.7","19.3","-","-","-","-","-","-",
"부안읍","합계","생산량[M/T]","M/T","52.2","45.2","44.9","56.8","36.1","34.7","35.5","-","-","-","-","-","-",
"부안읍","조","면적[㏊]","㏊","3","3","3","4","4","","","","","","","","",
"부안읍","조","생산량[M/T]","M/T","4.1","4.1","3.8","5","5","","","","","","","","",
"부안읍","조","단위생산량[kg/10a]","kg/10a","136.7","136.7","126.7","125","125","","","","","","","","",
"부안읍","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"부안읍","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"부안읍","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"부안읍","옥수수","면적[㏊]","㏊","4","2","3","4","5","4.5","4.8","-","-","-","-","-","-",
"부안읍","옥수수","생산량[M/T]","M/T","14.8","6","9","12","15","13.5","15.2","-","-","-","-","-","-",
"부안읍","옥수수","단위생산량[kg/10a]","kg/10a","370","300","300","300","300","300.3","316","-","-","-","-","-","-",
"부안읍","메밀","면적[㏊]","㏊","1.5","1.5","1.5","3","3","3","3","-","-","-","-","-","-",
