CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,x,y,행정구역,2024년04월_총인구수,2024년04월_세대수,2024년04월_세대당 인구,2024년04월_남자 인구수,2024년04월_여자 인구수,2024년04월_남여 비율
11,Seoul,서울특별시,11110,Jongno-gu,종로구,126.9773212949,37.5949173193,서울특별시종로구,"139,432","72,479",1.92,"67,138","72,294",0.93
11,Seoul,서울특별시,11140,Jung-gu,중구,126.9959681397,37.5601435646,서울특별시중구,"121,607","65,225",1.86,"58,737","62,870",0.93
11,Seoul,서울특별시,11170,Yongsan-gu,용산구,126.9799069882,37.5313849659,서울특별시용산구,"207,969","105,240",1.98,"99,566","108,403",0.92
11,Seoul,서울특별시,11200,Seongdong-gu,성동구,127.0410585333,37.5510296891,서울특별시성동구,"276,847","133,297",2.08,"134,161","142,686",0.94
11,Seoul,서울특별시,11215,Gwangjin-gu,광진구,127.0857440977,37.5467202379,서울특별시광진구,"334,790","170,588",1.96,"160,670","174,120",0.92
11,Seoul,서울특별시,11230,Dongdaemun-gu,동대문구,127.0548481278,37.5819565479,서울특별시동대문구,"341,981","174,086",1.96,"167,523","174,458",0.96
11,Seoul,서울특별시,11260,Jungnang-gu,중랑구,127.0928831763,37.5978173799,서울특별시중랑구,"381,668","188,694",2.02,"186,915","194,753",0.96
11,Seoul,서울특별시,11290,Seongbuk-gu,성북구,127.0175794912,37.6057019024,서울특별시성북구,"424,663","197,440",2.15,"203,536","221,127",0.92
11,Seoul,서울특별시,11305,Gangbuk-gu,강북구,127.0111889752,37.6434739136,서울특별시강북구,"285,880","143,238",2.0,"138,198","147,682",0.94
11,Seoul,서울특별시,11320,Dobong-gu,도봉구,127.0323688196,37.6691020803,서울특별시도봉구,"306,057","138,829",2.2,"148,216","157,841",0.94
11,Seoul,서울특별시,11350,Nowon-gu,노원구,127.0750368665,37.6525103231,서울특별시노원구,"496,406","218,585",2.27,"238,110","258,296",0.92
11,Seoul,서울특별시,11380,Eunpyeong-gu,은평구,126.9270228772,37.6192112826,서울특별시은평구,"465,660","216,381",2.15,"220,905","244,755",0.9
11,Seoul,서울특별시,11410,Seodaemun-gu,서대문구,126.9390630957,37.5777853092,서울특별시서대문구,"306,001","147,508",2.07,"145,109","160,892",0.9
11,Seoul,서울특별시,11440,Mapo-gu,마포구,126.9082700274,37.5593134926,서울특별시마포구,"363,449","181,710",2.0,"169,555","193,894",0.87
11,Seoul,서울특별시,11470,Yangcheon-gu,양천구,126.8554776602,37.5247894102,서울특별시양천구,"433,975","180,585",2.4,"211,634","222,341",0.95
11,Seoul,서울특별시,11500,Gangseo-gu,강서구,126.8228066897,37.561235428,서울특별시강서구,"560,679","274,226",2.04,"268,551","292,128",0.92
11,Seoul,서울특별시,11530,Guro-gu,구로구,126.856300579,37.4944054286,서울특별시구로구,"390,952","184,234",2.12,"191,538","199,414",0.96
11,Seoul,서울특별시,11545,Geumcheon-gu,금천구,126.9008202444,37.4605675649,서울특별시금천구,"226,955","121,117",1.87,"114,184","112,771",1.01
